machine_id,temperature,vibration,pressure,speed,torque,tool_wear,failure
M0450,60.61,2.23,103.57,1459.82,46.3,11.72,0
M0451,88.86,7.39,111.23,1387.51,59.68,71.58,1
M0452,71.48,2.85,104.08,1536.72,45.67,30.76,0
M0453,61.22,2.27,99.09,1535.13,46.43,6.45,0
M0454,71.66,3.09,100.0,1495.64,46.93,40.23,0
M0455,71.47,2.26,103.08,1462.39,35.4,23.62,0
M0456,58.55,3.18,102.7,1484.98,37.13,49.72,0
M0457,68.78,1.71,101.09,1466.29,42.44,53.25,0
M0458,92.95,6.87,111.23,1386.86,50.3,92.31,1
M0459,55.18,3.28,103.18,1510.11,35.11,17.62,0
M0460,86.11,7.88,115.71,1388.14,55.65,77.2,1
M0461,64.33,2.69,104.59,1489.72,36.33,30.58,0
M0462,71.87,1.94,103.18,1510.91,38.88,10.41,0
M0463,74.77,2.6,104.89,1476.11,44.24,49.62,0
M0464,58.0,2.91,105.2,1530.54,45.43,35.0,0
M0465,68.62,2.8,103.24,1549.75,38.37,25.93,0
M0466,55.71,2.77,102.58,1468.99,44.45,16.12,0
M0467,70.7,3.27,103.37,1500.73,45.99,47.03,0
M0468,83.62,4.84,109.54,1373.28,62.13,91.7,1
M0469,68.59,1.84,98.71,1485.53,44.67,20.35,0
M0470,61.63,1.65,100.35,1535.12,41.12,48.32,0
M0471,73.89,1.18,105.12,1500.05,46.28,24.08,0
M0472,56.08,3.14,99.1,1470.03,40.32,33.47,0
M0473,89.15,5.61,116.59,1420.1,57.31,87.09,1
M0474,67.69,1.01,100.19,1526.12,37.19,43.22,0
M0475,70.27,1.22,102.92,1513.35,40.24,53.27,0
M0476,55.75,1.5,100.98,1451.41,39.19,46.66,0
M0477,68.53,2.57,99.99,1519.35,39.48,11.45,0
M0478,66.77,1.42,104.59,1479.82,38.78,41.39,0
M0479,61.76,3.22,105.96,1484.27,46.72,22.96,0
M0480,73.96,3.3,101.23,1472.84,44.45,11.56,0
M0481,66.79,1.42,100.93,1515.05,35.49,48.83,0
M0482,65.69,1.12,105.96,1516.2,43.5,5.99,0
M0483,63.34,1.95,102.38,1497.44,36.99,39.76,0
M0484,61.02,2.65,103.3,1477.0,42.87,11.86,0
M0485,82.1,7.02,109.41,1360.26,51.59,71.95,1
M0486,60.26,2.31,99.61,1520.34,38.84,6.97,0
M0487,59.15,3.33,100.64,1450.27,43.73,50.34,0
M0488,93.38,5.02,109.08,1396.05,60.85,68.55,1
M0489,59.62,3.47,100.37,1496.43,36.3,13.74,0
M0490,60.81,3.0,100.5,1523.85,36.23,42.91,0
M0491,72.04,2.66,99.36,1485.75,40.69,36.09,0
M0492,81.86,7.35,110.19,1386.07,64.43,74.51,1
M0493,72.01,3.0,103.19,1529.69,36.47,39.81,0
M0494,73.85,1.4,101.33,1509.08,45.43,38.92,0
M0495,62.6,1.9,98.23,1518.45,45.9,53.67,0
M0496,73.41,1.28,101.29,1454.6,38.4,20.71,0
M0497,68.56,2.92,102.61,1506.5,47.71,38.49,0
M0498,65.46,2.75,98.76,1516.17,38.23,22.29,0
M0499,62.7,3.1,102.47,1548.78,35.71,37.17,0
M0500,71.98,3.13,104.96,1457.49,41.39,17.04,0
M0501,81.01,5.28,115.72,1386.29,53.52,81.07,1
M0502,88.96,7.5,113.36,1360.68,57.46,87.87,1
M0503,63.25,2.39,98.0,1459.09,42.85,35.95,0
M0504,65.17,1.52,103.37,1545.04,39.72,7.71,0
M0505,64.09,2.4,102.96,1497.31,43.54,40.8,0
M0506,70.19,1.55,100.73,1532.99,47.54,19.6,0
M0507,69.04,1.11,99.31,1464.04,44.32,41.08,0
M0508,67.22,1.47,105.44,1489.29,40.94,44.07,0
M0509,57.16,2.04,105.41,1533.75,42.65,43.61,0
M0510,68.17,3.39,99.08,1499.88,41.89,7.43,0
M0511,96.78,6.19,114.1,1432.9,52.66,85.25,1
M0512,57.57,1.97,102.8,1538.27,41.55,24.23,0
M0513,98.32,7.17,111.28,1436.72,64.56,80.85,1
M0514,63.25,2.75,103.99,1479.89,44.12,48.04,0
M0515,73.71,2.58,99.61,1512.42,38.78,22.26,0
M0516,74.63,2.63,105.67,1500.39,44.03,21.12,0
M0517,62.04,2.2,102.57,1516.72,40.43,42.39,0
M0518,85.72,7.47,117.7,1397.05,50.38,70.09,1
M0519,59.0,2.88,99.29,1478.66,38.26,46.97,0
M0520,60.9,2.88,98.26,1531.4,36.33,48.4,0
M0521,72.3,2.86,102.49,1473.76,45.2,44.94,0
M0522,68.29,3.32,101.1,1545.67,47.69,20.63,0
M0523,55.26,1.63,102.96,1528.09,46.31,46.5,0
M0524,94.09,6.77,117.06,1399.2,59.05,92.17,1
M0525,85.88,5.12,116.19,1366.83,52.61,82.98,1
M0526,63.57,2.39,99.04,1508.4,38.32,21.53,0
M0527,58.1,1.38,100.58,1455.09,47.12,35.78,0
M0528,64.81,2.43,100.86,1528.4,39.13,16.0,0
M0529,56.36,2.26,101.33,1503.7,36.2,16.06,0
M0530,61.64,1.9,99.75,1525.27,41.9,54.83,0
M0531,99.62,4.53,116.03,1390.11,63.57,86.48,1
M0532,74.18,2.71,100.57,1541.59,47.28,24.29,0
M0533,60.66,3.28,104.58,1487.5,45.44,27.28,0
M0534,72.97,1.48,102.11,1544.82,37.18,52.81,0
M0535,55.15,1.16,103.36,1527.36,46.24,26.21,0
M0536,65.76,2.76,105.81,1527.52,43.41,51.99,0
M0537,58.08,2.15,100.65,1458.75,35.71,44.71,0
M0538,66.5,1.57,100.07,1488.8,43.19,26.65,0
M0539,68.47,2.34,103.13,1511.83,44.83,34.28,0
M0540,56.45,3.32,98.85,1528.69,38.92,9.33,0
M0541,63.75,1.99,103.29,1497.4,41.94,11.82,0
M0542,70.95,2.36,105.68,1464.41,43.8,50.71,0
M0543,69.59,1.93,105.6,1505.35,42.22,11.16,0
M0544,66.93,2.34,105.58,1480.47,44.73,50.18,0
M0545,63.25,2.61,102.1,1466.1,37.87,46.74,0
M0546,58.63,3.0,104.82,1535.14,47.12,54.72,0
M0547,65.99,1.73,98.54,1459.82,44.43,29.36,0
M0548,57.56,2.64,98.8,1511.95,46.7,20.89,0
M0549,67.33,1.76,102.67,1506.56,39.74,20.82,0
M0550,55.1,1.62,99.77,1523.98,40.67,47.01,0
M0551,69.66,3.19,101.7,1485.87,38.97,32.58,0
M0552,67.13,3.1,104.87,1464.0,42.0,18.16,0
M0553,81.53,4.76,108.22,1395.65,50.47,85.37,1
M0554,66.8,3.27,102.41,1504.35,47.98,28.61,0
M0555,62.32,1.56,104.18,1523.32,38.78,28.24,0
M0556,62.94,2.26,103.3,1534.8,45.49,35.7,0
M0557,65.28,2.12,99.43,1544.87,43.57,53.39,0
M0558,64.67,1.9,99.75,1498.76,35.82,23.47,0
M0559,59.14,3.27,100.89,1496.97,40.91,7.32,0
M0560,86.48,6.96,114.26,1424.67,62.52,74.22,1
M0561,58.48,2.63,100.92,1515.33,45.86,30.83,0
M0562,73.14,2.29,100.82,1536.77,41.33,29.11,0
M0563,65.04,1.35,99.32,1457.71,43.37,15.58,0
M0564,62.24,2.79,98.95,1473.03,45.55,41.01,0
M0565,64.58,1.53,99.29,1533.34,35.29,7.16,0
M0566,58.22,2.57,98.31,1507.23,35.73,17.91,0
M0567,74.16,2.5,102.51,1451.86,44.35,38.09,0
M0568,56.71,2.12,105.94,1536.73,37.22,46.52,0
M0569,70.89,3.05,99.46,1515.96,38.44,41.21,0
M0570,64.07,2.48,99.84,1488.55,36.41,15.12,0
M0571,90.09,5.97,109.79,1358.67,57.14,86.52,1
M0572,70.68,2.26,98.94,1498.22,36.69,35.17,0
M0573,97.94,7.21,115.79,1396.98,55.56,66.52,1
M0574,59.59,3.01,104.32,1488.12,42.66,42.07,0
M0575,68.93,1.24,99.07,1497.71,38.02,47.95,0
M0576,72.54,2.02,99.51,1520.91,45.26,33.9,0
M0577,55.14,2.64,103.5,1481.59,39.71,12.74,0
M0578,60.07,3.14,101.39,1486.56,38.58,39.03,0
M0579,63.26,2.96,101.86,1487.02,42.21,17.69,0
M0580,61.89,2.76,103.89,1535.5,43.57,42.39,0
M0581,68.99,1.4,99.72,1490.06,39.4,32.53,0
M0582,69.14,1.4,105.72,1450.53,36.18,12.27,0
M0583,88.71,4.72,110.66,1357.2,50.57,78.45,1
M0584,92.28,6.32,116.54,1403.77,64.19,93.71,1
M0585,63.78,1.5,103.26,1530.39,38.72,6.68,0
M0586,65.32,1.58,99.36,1453.61,38.11,5.01,0
M0587,74.94,2.95,100.83,1489.51,42.62,30.89,0
M0588,56.37,1.23,100.28,1532.98,46.9,22.4,0
M0589,85.53,6.62,110.33,1433.67,58.62,74.14,1
M0590,57.13,1.18,100.35,1544.7,45.44,52.84,0
M0591,96.26,6.51,116.33,1436.94,58.45,91.95,1
M0592,74.22,2.15,101.69,1508.68,35.36,10.81,0
M0593,67.67,3.49,103.42,1472.99,39.1,52.77,0
M0594,55.19,3.08,99.99,1459.3,43.76,46.05,0
M0595,73.63,2.19,100.83,1539.43,38.5,52.36,0
M0596,73.2,2.25,99.6,1523.54,46.35,15.34,0
M0597,59.99,2.55,99.25,1460.67,46.96,38.79,0
M0598,67.28,2.91,102.33,1454.23,41.27,36.03,0
M0599,74.71,3.24,104.95,1499.08,47.8,50.8,0
M0600,59.44,2.44,98.43,1529.93,41.22,32.04,0
M0601,62.87,2.72,99.4,1547.65,44.08,28.0,0
M0602,55.24,1.53,102.65,1482.54,42.97,17.99,0
M0603,59.74,2.18,102.9,1486.59,41.48,15.53,0
M0604,62.45,3.14,100.24,1467.99,36.7,33.79,0
M0605,57.0,1.67,99.89,1493.22,39.95,12.29,0
M0606,82.99,7.32,110.12,1394.96,64.93,94.73,1
M0607,69.41,2.96,100.4,1506.21,42.38,24.92,0
M0608,56.2,3.03,101.81,1512.99,40.85,21.73,0
M0609,66.21,3.33,100.06,1451.98,36.58,48.37,0
M0610,83.98,6.52,115.79,1365.71,61.7,77.43,1
M0611,64.75,2.84,105.12,1488.11,38.72,36.59,0
M0612,58.35,3.02,100.7,1513.13,42.43,47.45,0
M0613,58.24,1.57,100.54,1479.14,38.48,37.23,0
M0614,63.9,3.16,100.91,1508.69,47.55,25.7,0
M0615,55.46,2.82,103.3,1544.04,44.11,9.0,0
M0616,57.06,1.16,105.03,1504.84,35.34,24.85,0
M0617,56.67,1.66,99.24,1515.48,46.51,20.47,0
M0618,60.68,2.57,99.05,1533.85,35.37,38.18,0
M0619,86.5,6.17,119.7,1398.65,54.09,80.57,1
M0620,93.95,5.12,115.17,1406.79,59.54,84.74,1
M0621,67.79,1.77,100.78,1503.97,45.46,27.09,0
M0622,60.2,1.76,98.0,1531.54,46.02,22.19,0
M0623,55.17,3.31,105.58,1497.71,35.12,26.52,0
M0624,59.62,1.02,100.99,1491.17,42.29,24.74,0
M0625,69.74,1.97,101.03,1476.3,40.49,16.98,0
M0626,73.2,3.02,103.48,1478.47,44.66,45.44,0
M0627,72.07,1.46,100.32,1513.69,43.03,18.61,0
M0628,58.76,1.05,98.4,1503.5,37.42,10.11,0
M0629,69.3,2.82,99.86,1465.07,41.42,22.1,0
M0630,70.99,3.49,101.71,1529.14,39.29,47.18,0
M0631,81.12,7.21,108.86,1392.31,52.88,94.45,1
M0632,96.57,4.93,117.22,1372.41,61.57,80.5,1
M0633,55.67,2.15,104.17,1502.11,47.77,28.64,0
M0634,61.24,1.81,103.03,1454.22,47.19,31.05,0
M0635,67.77,1.5,105.1,1536.37,37.83,10.65,0
M0636,61.49,1.42,100.21,1461.96,45.26,5.45,0
M0637,70.67,2.19,102.77,1487.14,36.16,12.88,0
M0638,67.37,3.33,105.98,1512.51,35.78,37.23,0
M0639,70.83,1.31,99.86,1548.17,45.25,42.83,0
M0640,88.77,5.18,116.27,1382.24,52.02,96.45,1
M0641,63.75,1.74,103.58,1468.98,37.43,22.38,0
M0642,60.51,3.08,105.32,1505.45,35.9,12.75,0
M0643,60.27,1.92,98.01,1513.8,39.93,14.28,0
M0644,72.14,2.94,99.91,1522.1,43.56,31.95,0
M0645,65.48,2.24,102.41,1511.3,39.19,37.05,0
M0646,65.46,1.17,104.68,1462.98,46.36,15.1,0
M0647,56.98,2.43,104.69,1515.79,41.84,40.07,0
M0648,62.33,2.51,98.57,1543.02,37.71,29.57,0
M0649,81.6,7.3,108.73,1400.22,64.07,79.56,1
M0650,69.17,3.06,100.13,1454.07,35.92,20.2,0
M0651,99.21,4.84,116.7,1397.85,52.84,83.42,1
M0652,67.51,1.45,103.99,1491.52,36.37,36.93,0
M0653,64.17,2.66,105.06,1466.68,37.35,25.08,0
M0654,58.16,3.5,101.54,1485.23,39.1,54.57,0
M0655,62.43,2.91,101.44,1522.59,42.91,33.16,0
M0656,70.31,3.32,100.03,1546.17,40.82,24.85,0
M0657,74.66,2.49,102.14,1549.34,38.92,20.02,0
M0658,72.11,1.05,104.58,1518.97,38.59,32.68,0
M0659,73.52,1.39,98.3,1485.57,36.8,23.35,0
M0660,59.66,3.03,98.74,1489.98,46.93,41.71,0
M0661,70.86,1.43,104.61,1518.96,42.49,50.38,0
M0662,61.01,2.83,102.61,1457.85,35.73,43.55,0
M0663,71.34,2.04,104.94,1536.98,37.95,37.64,0
M0664,55.23,2.94,101.06,1480.48,35.54,32.0,0
M0665,65.05,1.55,98.4,1523.16,40.11,27.28,0
M0666,65.09,1.56,100.32,1489.43,36.72,9.13,0
M0667,55.99,2.0,98.68,1500.18,45.06,11.52,0
M0668,66.19,2.22,103.22,1469.61,43.01,41.78,0
M0669,56.43,2.94,100.59,1542.41,36.16,38.59,0
M0670,61.97,1.8,102.75,1452.42,38.96,54.38,0
M0671,74.8,2.11,99.17,1454.49,45.64,14.98,0
M0672,70.15,3.13,98.9,1455.45,47.34,51.34,0
M0673,96.4,4.55,116.33,1360.02,56.75,65.8,1
M0674,65.76,1.51,102.19,1475.87,41.28,41.5,0
M0675,68.98,1.05,102.66,1516.35,35.57,13.52,0
M0676,70.78,2.54,98.42,1515.48,35.11,24.43,0
M0677,72.04,2.65,104.91,1451.91,46.28,37.47,0
M0678,62.61,3.44,98.8,1481.55,46.27,31.58,0
M0679,65.01,2.14,105.41,1452.15,38.22,31.47,0
M0680,62.87,1.39,100.77,1485.19,43.13,16.81,0
M0681,90.03,7.34,115.51,1429.08,63.36,93.52,1
M0682,66.1,1.7,99.21,1539.72,43.54,9.39,0
M0683,74.21,2.53,103.0,1472.74,38.12,12.64,0
M0684,98.19,5.65,114.51,1368.61,52.08,83.95,1
M0685,97.25,5.58,116.46,1397.14,52.03,99.85,1
M0686,82.9,7.77,119.01,1378.57,58.36,98.2,1
M0687,61.35,3.2,103.82,1526.54,46.44,25.7,0
M0688,63.86,3.33,105.15,1543.33,38.56,43.96,0
M0689,58.69,2.91,102.9,1476.69,42.37,16.55,0
M0690,68.75,1.9,103.51,1497.66,41.53,35.24,0
M0691,62.48,3.13,101.93,1463.75,37.51,6.61,0
M0692,55.3,1.67,101.3,1524.24,47.85,42.89,0
M0693,73.54,3.46,104.94,1498.99,39.22,27.88,0
M0694,63.1,1.1,103.88,1488.04,39.07,35.58,0
M0695,66.88,2.31,105.01,1528.69,41.77,27.58,0
M0696,80.85,7.99,114.22,1385.61,61.03,84.52,1
M0697,67.61,1.12,100.33,1489.8,38.96,46.38,0
M0698,63.45,2.53,98.44,1501.7,36.85,46.49,0
M0699,69.45,1.28,104.23,1543.78,44.05,11.77,0
M0700,64.02,1.45,102.72,1521.26,37.63,27.73,0
M0701,68.83,3.27,104.37,1521.84,36.61,10.71,0
M0702,62.26,2.31,101.07,1529.11,41.65,52.49,0
M0703,62.61,2.92,105.3,1506.55,43.57,12.5,0
M0704,83.58,6.99,113.03,1377.86,61.53,80.62,1
M0705,57.35,1.33,99.62,1512.26,38.29,27.93,0
M0706,90.87,4.52,118.59,1371.41,58.83,81.65,1
M0707,56.59,2.5,99.96,1504.73,43.06,32.88,0
M0708,80.98,5.02,115.84,1353.3,62.81,88.34,1
M0709,85.97,7.72,108.59,1387.53,52.67,88.52,1
M0710,68.83,2.49,104.3,1467.74,40.92,33.95,0
M0711,81.86,5.55,112.42,1384.1,51.02,79.96,1
M0712,60.86,1.34,103.56,1477.44,41.85,31.23,0
M0713,67.24,1.27,103.84,1512.9,47.83,29.18,0
M0714,73.68,3.47,100.3,1510.88,39.11,31.27,0
M0715,87.08,4.95,114.75,1396.77,59.48,82.24,1
M0716,67.19,2.77,105.83,1450.16,35.31,36.27,0
M0717,71.96,3.0,105.99,1491.4,39.34,33.02,0
M0718,55.23,1.5,100.25,1529.02,39.0,30.33,0
M0719,55.12,2.71,100.73,1522.44,43.01,6.46,0
M0720,61.61,1.84,103.38,1541.62,45.36,37.28,0
M0721,67.54,3.23,102.3,1483.51,45.19,25.7,0
M0722,71.7,1.75,103.8,1481.55,41.97,15.41,0
M0723,70.99,3.22,100.83,1546.96,38.65,6.56,0
M0724,92.53,7.45,114.85,1385.06,58.93,95.26,1
M0725,69.11,1.79,98.25,1491.39,41.46,16.88,0
M0726,74.01,1.54,100.42,1461.22,45.2,43.89,0
M0727,88.88,4.59,113.79,1395.0,52.85,97.33,1
M0728,65.47,2.94,99.15,1537.18,45.69,51.9,0
M0729,57.65,2.81,101.67,1521.37,41.79,5.21,0
M0730,93.74,6.58,109.04,1392.02,50.69,83.22,1
M0731,61.25,2.44,100.5,1539.21,39.17,14.63,0
M0732,61.38,2.1,98.94,1464.93,38.56,5.76,0
M0733,65.28,1.52,100.8,1481.85,36.84,40.22,0
M0734,59.9,1.18,102.91,1483.87,40.77,11.5,0
M0735,68.51,1.26,98.43,1492.65,37.33,34.81,0
M0736,71.72,2.75,102.93,1481.24,45.63,40.64,0
M0737,65.67,3.43,104.05,1496.57,36.71,45.64,0
M0738,89.37,6.09,116.21,1413.92,56.98,73.11,1
M0739,72.22,2.54,105.3,1489.21,44.09,38.26,0
M0740,72.65,2.13,98.24,1497.53,39.57,28.06,0
M0741,70.36,2.51,99.02,1460.29,45.63,44.84,0
M0742,67.99,2.98,102.26,1490.08,40.37,36.04,0
M0743,74.48,1.96,100.73,1531.39,42.68,44.22,0
M0744,70.75,2.36,99.89,1516.26,36.01,51.54,0
M0745,64.73,2.48,101.7,1505.51,45.69,13.81,0
M0746,81.39,4.88,117.77,1419.42,55.68,82.3,1
M0747,56.81,3.04,105.1,1540.33,43.27,5.01,0
M0748,57.98,2.33,101.12,1507.79,37.54,39.08,0
M0749,66.41,3.28,100.44,1544.33,40.65,54.13,0
M0750,56.79,1.02,105.89,1490.42,36.66,19.71,0
M0751,65.98,1.13,103.63,1532.08,39.67,48.06,0
M0752,84.7,6.96,112.73,1378.63,55.74,78.35,1
M0753,68.25,2.19,99.51,1488.46,47.02,47.0,0
M0754,74.95,2.68,99.07,1457.17,35.2,41.07,0
M0755,63.73,3.48,98.68,1514.22,40.41,27.8,0
M0756,67.09,2.06,99.44,1500.94,42.18,27.5,0
M0757,58.72,2.51,102.62,1534.68,38.08,30.09,0
M0758,65.92,1.92,105.83,1506.81,44.16,10.66,0
M0759,68.81,1.36,103.85,1548.36,47.79,43.94,0
M0760,56.56,3.22,98.71,1497.25,44.64,53.02,0
M0761,67.67,3.0,100.5,1455.28,39.47,43.93,0
M0762,65.25,2.17,103.87,1492.1,47.49,44.91,0
M0763,55.71,3.31,104.0,1522.7,42.33,8.07,0
M0764,58.38,1.13,105.92,1530.89,43.12,19.34,0
M0765,65.11,3.13,100.22,1463.25,38.65,47.89,0
M0766,57.23,1.44,102.73,1465.11,40.81,45.39,0
M0767,69.02,2.21,104.39,1536.2,39.46,9.22,0
M0768,73.68,1.39,101.97,1549.36,45.01,16.9,0
M0769,67.75,1.53,103.87,1484.51,43.35,42.77,0
M0770,58.35,2.0,100.41,1524.62,44.78,31.63,0
M0771,69.11,2.19,99.16,1537.03,35.15,51.36,0
M0772,68.57,3.4,103.46,1454.1,46.93,36.87,0
M0773,88.64,7.71,118.3,1380.15,54.01,68.44,1
M0774,62.82,2.93,103.99,1523.43,42.65,14.75,0
M0775,68.81,1.45,102.38,1517.28,45.81,5.6,0
M0776,57.08,2.11,99.76,1478.33,37.51,6.19,0
M0777,73.77,2.64,104.68,1545.05,43.3,40.4,0
M0778,72.13,1.32,103.25,1539.99,42.36,53.36,0
M0779,93.91,5.39,113.6,1434.26,59.58,97.29,1
M0780,63.54,3.26,104.16,1482.34,37.11,8.7,0
M0781,62.66,1.83,98.48,1545.56,38.44,27.03,0
M0782,73.57,2.53,99.43,1499.21,36.87,43.44,0
M0783,67.87,3.28,103.72,1460.33,35.95,33.57,0
M0784,63.92,3.24,99.19,1514.03,47.13,38.23,0
M0785,69.0,3.26,102.6,1501.54,47.22,29.53,0
M0786,71.88,2.95,104.28,1504.01,35.04,52.71,0
M0787,89.64,6.49,119.22,1382.3,60.23,79.02,1
M0788,74.18,1.23,102.28,1546.09,36.05,27.98,0
M0789,67.96,1.44,98.31,1488.42,37.48,39.79,0
M0790,92.61,5.76,109.02,1406.95,61.03,69.9,1
M0791,69.39,2.48,101.91,1456.3,42.03,20.39,0
M0792,71.69,2.12,105.97,1453.7,35.73,44.39,0
M0793,57.36,3.02,103.34,1495.84,43.82,48.71,0
M0794,66.59,3.31,98.3,1464.16,43.5,28.56,0
M0795,80.92,6.95,109.57,1365.5,50.75,75.76,1
M0796,64.12,1.43,102.73,1531.78,36.38,29.86,0
M0797,59.41,3.01,101.41,1531.15,47.77,38.92,0
M0798,74.52,2.44,99.1,1533.64,45.31,43.21,0
M0799,61.71,1.3,99.13,1491.52,44.05,32.67,0
M0800,73.51,1.1,98.8,1534.74,42.96,43.88,0
M0801,64.74,1.02,99.44,1458.91,43.47,49.35,0
M0802,71.15,2.93,103.54,1470.62,43.32,31.15,0
M0803,73.76,2.53,98.3,1468.0,41.5,52.51,0
M0804,70.65,1.87,98.04,1473.56,36.53,31.51,0
M0805,62.24,2.9,102.32,1471.93,45.01,37.97,0
M0806,58.87,2.99,103.48,1546.86,41.17,13.82,0
M0807,55.86,2.61,100.28,1493.47,39.35,45.26,0
M0808,55.87,2.85,105.4,1467.59,45.21,29.25,0
M0809,72.9,2.8,102.74,1482.6,37.58,38.84,0
M0810,70.58,1.82,98.78,1523.77,46.31,23.78,0
M0811,64.42,2.21,105.12,1464.49,47.06,27.75,0
M0812,57.73,2.8,103.06,1547.56,37.63,11.36,0
M0813,56.19,1.34,104.81,1495.86,37.23,22.18,0
M0814,92.07,7.26,115.66,1405.04,52.55,98.95,1
M0815,81.73,7.5,113.87,1439.61,58.87,94.29,1
M0816,69.6,2.84,99.97,1482.73,42.53,49.59,0
M0817,57.98,2.43,98.04,1548.02,35.52,28.53,0
M0818,55.67,2.33,101.83,1529.8,45.68,27.62,0
M0819,66.17,1.03,103.85,1544.99,36.73,19.79,0
M0820,56.81,2.2,100.44,1520.33,46.15,42.36,0
M0821,64.1,2.93,104.99,1490.54,45.27,23.52,0
M0822,67.67,3.15,98.57,1539.34,39.33,6.64,0
M0823,60.4,3.37,102.34,1529.45,45.24,9.05,0
M0824,94.72,4.69,119.34,1410.72,63.32,68.88,1
M0825,67.38,1.91,99.4,1505.88,35.87,40.47,0
M0826,74.63,1.6,98.91,1497.85,47.21,34.01,0
M0827,84.2,7.11,110.71,1381.74,54.01,88.81,1
M0828,56.27,1.86,101.89,1502.67,36.6,40.49,0
M0829,65.66,1.73,102.97,1529.99,47.29,45.44,0
M0830,81.31,7.62,113.49,1357.22,63.47,75.09,1
M0831,82.19,5.47,116.36,1394.67,63.12,83.22,1
M0832,60.86,3.42,102.33,1463.2,39.51,27.19,0
M0833,60.83,1.16,104.97,1473.23,47.32,37.23,0
M0834,61.86,2.62,100.61,1509.34,44.06,47.1,0
M0835,61.08,1.33,104.31,1467.17,38.38,29.21,0
M0836,95.39,4.67,112.24,1391.03,52.5,97.34,1
M0837,60.7,3.43,104.71,1519.29,43.66,12.67,0
M0838,55.82,1.79,99.01,1476.04,37.4,33.12,0
M0839,61.34,1.86,100.98,1503.99,37.11,20.08,0
M0840,88.09,6.25,109.74,1391.22,54.8,65.15,1
M0841,74.51,1.83,103.64,1497.39,38.77,52.2,0
M0842,91.47,5.01,114.78,1431.62,56.63,89.12,1
M0843,73.0,1.35,102.41,1480.81,40.22,47.04,0
M0844,56.85,1.14,103.13,1508.34,37.89,51.78,0
M0845,55.45,2.35,101.56,1517.16,36.14,30.59,0
M0846,61.36,2.51,105.55,1540.84,39.69,12.4,0
M0847,87.39,5.8,111.42,1381.62,64.66,95.6,1
M0848,69.56,2.11,105.94,1530.37,38.75,45.28,0
M0849,88.48,7.64,109.67,1402.85,51.29,72.27,1
M0850,72.35,3.47,98.53,1546.01,44.83,9.42,0
M0851,73.29,2.04,102.45,1521.02,44.82,11.85,0
M0852,62.64,2.38,98.34,1532.62,45.85,20.2,0
M0853,64.27,1.07,98.02,1476.27,47.43,46.71,0
M0854,68.08,3.23,101.34,1499.19,43.94,17.24,0
M0855,60.54,3.49,98.53,1524.56,42.55,33.28,0
M0856,92.56,6.17,116.33,1360.76,57.69,85.13,1
M0857,83.26,4.7,111.84,1429.05,52.03,70.72,1
M0858,63.39,3.28,100.85,1478.99,41.88,51.82,0
M0859,70.33,1.46,98.76,1525.26,42.07,48.62,0
M0860,93.7,5.55,116.23,1411.95,51.44,85.3,1
M0861,80.26,6.31,112.48,1393.64,55.1,96.88,1
M0862,58.09,1.55,99.51,1539.71,42.97,46.57,0
M0863,65.64,2.38,104.05,1461.4,40.99,8.82,0
M0864,98.47,6.18,111.74,1382.63,62.26,96.14,1
M0865,70.27,1.86,103.68,1452.88,45.59,16.12,0
M0866,82.85,5.29,109.5,1361.72,51.18,89.18,1
M0867,56.55,2.94,104.06,1454.25,36.4,44.65,0
M0868,56.19,1.3,100.02,1456.62,43.68,42.73,0
M0869,73.4,1.51,105.21,1468.48,39.57,9.54,0
M0870,98.84,7.82,112.17,1364.45,57.51,90.5,1
M0871,66.4,1.25,102.63,1451.4,37.82,14.58,0
M0872,73.03,2.34,105.79,1459.87,37.78,30.21,0
M0873,62.33,2.47,101.52,1545.77,37.35,22.74,0
M0874,59.29,1.57,98.9,1548.46,36.61,10.52,0
M0875,70.25,2.76,102.46,1454.06,39.27,10.79,0
M0876,67.01,1.78,105.81,1494.4,42.2,19.53,0
M0877,83.78,4.74,118.09,1392.81,60.19,71.28,1
M0878,89.83,4.87,113.26,1409.27,51.28,70.02,1
M0879,66.81,1.25,105.4,1547.79,35.84,53.76,0
M0880,66.9,3.48,98.98,1533.81,44.43,18.93,0
M0881,66.64,1.68,104.32,1514.38,40.2,28.79,0
M0882,63.09,2.21,100.23,1526.8,36.4,17.53,0
M0883,67.57,1.34,98.8,1455.29,35.89,38.91,0
M0884,87.65,6.88,109.83,1405.98,51.45,67.68,1
M0885,70.35,2.98,99.62,1516.21,41.37,18.08,0
M0886,72.19,2.37,105.62,1453.16,40.6,50.75,0
M0887,61.29,1.94,101.68,1453.29,42.24,48.02,0
M0888,69.12,2.23,99.08,1521.57,41.34,10.47,0
M0889,68.2,2.71,102.58,1497.59,46.11,30.33,0
M0890,64.89,3.43,102.94,1485.28,47.71,21.02,0
M0891,55.9,3.09,100.79,1524.21,35.35,49.57,0
M0892,56.95,1.86,100.86,1485.13,43.6,17.38,0
M0893,66.85,3.28,98.52,1480.49,39.39,5.99,0
M0894,64.22,3.16,102.54,1540.14,38.47,39.8,0
M0895,74.72,1.94,101.12,1507.25,45.51,10.0,0
M0896,61.72,2.26,104.12,1483.95,42.99,23.17,0
M0897,64.94,3.12,104.3,1534.04,41.97,19.37,0
M0898,74.92,2.01,99.81,1524.29,36.2,47.21,0
M0899,61.74,1.17,104.41,1497.53,37.73,44.78,0
